Karnataka ,Hampi,"[""Hampi, the city of ruins, is a UNESCO World Heritage Site. Situated in the shadowed depth of hills and valleys in the state of Karnataka, this place is a historical delight for travellers. Surrounded by 500 ancient monuments, beautiful temples, bustling street markets, bastions, treasury building and captivating remains of Vijayanagar Empire, Hampi is a backpacker's delight. Hampi is an open museum with 100+ locations to explore and a favourite way to see the city from the perspective of its history."", 'Hampi was the capital of the Vijayanagar empire around 1500 AD, and by some accounts, the second largest city in the world at that time. Over the next centuries it fell out of importance, and now you can explore the ruins of a lot of temples and other structures spread out over a vast area. The terrain around Hampi is as mysterious as the ruins itself - the city is surrounded by boulders of different sizes, and you can climb to the top of them with a little effort to get a stunning view of the entire city and the geography. It is located on the banks of the Tungabhadra River. Famous for its massive, beautifully carved temples, especially the Virupaksha Temple, dedicated to the patron deity of the empire. You can also find remains of the old aqueducts, canals and military barracks and stables here. Hampi was declared a UNESCO World Heritage site in 1986 and many efforts have been taken to restore the lost glory of the place - very limited (if any) modern establishments are allowed in the main area, which gives an authentic feel to the ruins.']","['Virupaksha Temple, Hampi', 'Vithala Temple', 'Lotus Palace', 'Yantrodharaka Hanuman Temple']",4.5/5,"['Weather: 27° C', 'Ideal duration: 2-4 days', 'Best Time: October-March']"
Kerala ,Alleppey,"['Officially called Alappuzha, Alleppey is the picture-perfect place known for its beautiful backwaters and the houseboats offering overnight stays. The coastline of Alleppey offers some of the best beaches in Kerala with water sports during the dry season.', 'Alleppey is located close to Kochi in the South Indian state of Kerala. Its palm-fringed inter-connect network of canal backwaters attracts a lot of tourists from all over the world. Coupled with other beautiful places in Kerala, Alleppey is often considered for a honeymoon or for a great family vacation.', 'There are plenty of houseboats, homestays, and rejuvenating Ayurvedic resorts that make staying in Alleppey brilliant. The houseboats pass through the serene backwaters, where you can catch glimpses of green paddy fields, choir-making activities, beautiful avifauna, and witness the life of locals in Kerala.', 'Be sure to catch a traditional snake boat race in the months of August and September and try out some toddy (palm wine) at a local toddy shop for adding a touch of authenticity to your travel experience in Allepey.']","['Stay in Houseboat', 'Marari Beach', 'Alappuzha Beach', 'Ambalappuzha Sree Krishna Temple']",4.5/5,"['Weather: 26° C', 'Ideal duration: 1-2 days', 'Best Time: Oct - February']"
Madhya Pradesh ,Bandhavgarh National Park.,"['Formerly a hunting ground for the Maharajas of Rewa, the Bandhavgarh National Park is world-renowned as a tiger reserve and it is known to have the highest density of Bengal tigers in the world. The frequent sightings of royal tigers make this national park a must-visit for all wildlife enthusiasts. In 2012, around 44-49 tigers were living in the park. There are more than 22 species of mammals and 250 species of avifauna.', 'The park got its name from the Bandhavgarh fort situated at the height of 800 m high cliffs nearby. The fort is in ruins now, but an hour trek to the fort is worth it as it provides ample views of the surroundings. The jeep safaris are amongst the most popular activities taken by visitors.']","['1. Khajuraho', '2. Bhedaghat', '3. Pachmarhi', '4. Gwalior']",4.5/5,"['Weather: 24° C', 'Ideal duration: 1-2 days', 'Best Time: Feb-June']"
Maharashtra ,Bhandardara,"[""Bhandardara, a hill station nestled in the Sahyadri ranges of Maharashtra, has all the nature's blessings a place can get. The lush greenery, the humble waterfalls and surrounded by high mountains makes for the perfect holiday spot for city dwellers."", 'Situated in the Ahmednagar district of Maharashtra, Bhandardara is 117 km. from Mumbai and is easily accessible through roadways. This little village is packed with so many attractions coupled with the serenity of the nature that it makes for an adventurous weekend to run away from the hustle and bustle of the cities.']","['Umbrella Falls', 'Wilson Dam', 'Kalsubai Peak', 'Randha Falls']",4.4/5,"['Weather: 26° C', 'Ideal duration: 1-2 days', 'Best Time: Jun-Mar']"
Manipur ,Tamenglong,"['This hilly region is an ideal setting for tourists interested in outdoor holidays. The beauty of this town is unparalleled with the unusual varieties of flora and fauna.', 'This town of Manipur, known for the oranges grown here is the home to some of the most unique plants and animals. The vibrant forest here provide habitat to hog deers, leopards, wild dogs, hyenas, tigers and many more. A nature lover can have a ball in this beautifully endowed town, with its waterfalls, exotic animals and numerous orchards.']","['Barak Waterfall', 'Zeilad Lake', 'Buning meadows', 'Tharon Cave']",3.0/5,"['Weather: 21° C', 'Ideal duration: 1 day', 'Best Time: Oct-Apr']"
Meghalaya,Cherrapunjee,"['Hidden deep in the lush, green forests of the wettest place in India: Cherrapunjee, Meghalaya; one can find the magnificent Jingkieng Nongriat Double Decker Living Root Bridge; more commonly known as the Umshiang Double Decker Living Root Bridge or simply just the Double Decker Root Bridge.  This area is famous for root bridges made of Indian Rubber Tree, but the Double Decker Bridge is the most famous of all due to its large size. It is 3 kilometers long and placed at a height of 2400 feet! A unique attraction and quite an innovative mix of nature and engineering. The Umshiang River flows beneath the bridge.']","['Dawki', 'Nohkalikai Waterfalls', 'Mawlynnong', 'Mawsmai Cave']",4.7/5,"['Weather : 21° C', 'Time Required : 4-6 hours', 'Other Requirements : The hike down to the bridge is a whopping 3500-3600 steps and requires average fitness.']"
Mizoram ,Lunglei,"[""Literally meaning 'the bridge of rock', Lunglei is famous for its scenic beauty and natural setting. It is a small town, located around 170 km south of Aizawl whose name is derived from a bridge shaped rock found along Nghasih which is a tributary of the river Tlawng. Lunglei is an ideal offbeat destination for those who love natural sightseeing and adventure activities bundled into one. Trekking, bird watching and camping are among the popular activities opted by tourists coming to visit Lunglei."", 'Lunglei is a biodiverse region, home to Thorangtlang Wildlife Sanctuary and Saza Wildlife Sanctuary. While Saza Wildlife Sanctuary is famous for hosting migratory and endemic bird species, Thorangtlang Wildlife Sanctuary is home to several animal species such as leopards, tigers, porcupines and leaf monkeys among many. Visiting the Lunglei Rock Bridge at the Nghasih stream is another popular activity while here. For those looking to learn about the culture and traditions of the region, the Saikuti Hall is a must-visit.']",[],3.6/5,"['Weather: 21° C', 'Ideal duration: 1 day']"
Nagaland ,Mokokchung,"['The most significant urban centre in all of Nagaland after Dimapur and Kohima and the home of Ao Naga.', ""The popular tourist spots in the area include the District Museum, the Town main park, (located just above the Town Center), Unman village (which is regarded as the oldest and largest) and the Ao village. In addition, visitors might also be interested in exploring places like Longkhum, Langpangkong, Mopungchukit and Chuchuyimlang located within the district. Since agriculture constitutes the main occupation in the area, festivals during the sowing and harvesting months are sure to enhance the tourist's experience.""]","['Longkhum', 'Ungma Village', 'Langpangkong Caves', 'Molung Village']",3.0/5,"['Weather: 21° C', 'Ideal duration: 1-2 days', 'Best Time: Oct-Jun']"
Odisha,Sun Temple,"['Situated on the northeastern corner of Puri, Konark Sun Temple is a UNESCO World Heritage site and one of the prime tourist attractions of Odisha. Built in the form of a giant rath or chariot of the Sun God, it depicts the chariot being pulled by a set of seven horses, four on the left side and three on the right. It has three deities dedicated to the Sun God on three different sides of the temple which catch the direct rays of sun in the morning, afternoon and evening. There is also a dedicated archaeological museum inside the temple complex. The temple transforms into a stage during The Konark Dance Festival, which is held every year usually in February and attracts a lot of foreign and Indian tourists — dedicated to devotees of the Sun God.', 'Konark Sun Temple is one of the last standing structures before the fifteenth century in the country. The sun rays reach the Nata Mandir from the coast and reflect through the diamond at the centre of the idol. The idol is believed to float mid-air due to arrangements of the magnets at the top of the temple but they were later removed due to the disturbance caused to coastal voyages. An engineering and artistic masterpiece, The Sun Temple has been standing stoically for the last two thousand years. Despite much of the temple in ruin, it still reflects the artistic genius of architects and sculptures of the time.']","['Chandrabhaga Beach', 'ASI Museum', 'Astaranga Beach', 'Konark Dance Festival']",4.3/5,"['Weather : 28° C', 'Timings : 6:00 AM to 8:00 PM', 'Time Required : 2 - 3 hours', 'Entry Fee : Indian Nationals: INR 30,Foreign Nationals: INR 500,Non-commercial photography is free,Konark Dance Festival Passes: INR 400 per person.']"
Punjab,Golden Temple,"['One of the most spiritual places in India, the Golden Temple, also known as Sri Harmandir Sahib, is the holiest shrine in all of Sikhism. Located right in the heart of Amritsar and being easily reachable from any part of the city, the stunning golden architecture of the temple and the daily Langar (community kitchen) attract a large number of visitors and devotees each day. The temple is open to devotees of all faiths and serves over 100,000 people free food from all walks of life.', 'The main Temple housing the shrine is a small part of the vast complex known as Harmandir Sahib or Darbar Sahib to the Sikhs. The spiritual focus is the tank, the Amrit Sarovar, which surrounds the glistening central shrine. Around the edges of the compound, there are more shrines and monuments. The Sikh Museum is located inside the main entrance clock tower which shows the oppression endured by the Sikhs at the hands of the Mughals, the British and the Indian Government of 1984. The Ramgarhia Bunga is a protective fortress located at the southeast end of the tank and is surrounded by two Islamic-style minarets. Golden Temple is indisputably one of the most exquisite attractions in the world.']","['Wagah Border', 'Jallianwala Bagh', 'Partition Museum', 'Maharaja Ranjit Singh Museum']",4.5/5,[]
Weather : 23° C,Timings : 04:00 AM to 11:00 PM,Time Required : 2 - 3 hours,Entry Fee : No entry fee
Rajasthan ,Jaisalmer,"[""Jaisalmer is a major tourist spot located in the northwestern state of Rajasthan in India. It is known as the 'golden city' due to its bounteous golden dunes and castles clad in golden honey sandstone. Jaisalmer is adorned with lakes, ornate Jain temples and havelis. Climb on to the camel saddle and make your way through this desert or camp under the night sky in this golden land for an unforgettable experience."", 'The Jaisalmer Fort stands as a citadel and is surrounded by narrow alleys inhabited by people residing there for generations. With shops selling colourful handicrafts and havelis that will make you travel back in time, Jaisalmer is an amalgam of exotic Indian desert culture, heritage and adventure.']","['Jaisalmer Fort', 'Desert Safari in Jaisalmer', 'Jain Temples in Jaisalmer', 'Gadisar Lake']",4.4/5,"['Weather: 27° C', 'Ideal duration: 2-3 days', 'Best Time: Oct-Mar ']"
Sikkim ,North Sikkim,"['One of the most uninhabited areas of the country, yet extremely beautiful and charming, North Sikkim shares its boundary with China and Nepal.', 'Mangan is the headquarters of the North Sikkim district. It is one of the most mystically beautiful though unexplored areas due to the harsh conditions found here. Located at an altitude of 956 meters the town of Mangan serves as a base for trekking and hiking trips in the mountains and forests. North Sikkim is famous for the Gurudongmar Lake which is one of the highest lakes of India. It also has religious importance. Apart from lakes, there are some important monasteries in this area too.']","['Gurudongmar Lake', 'Lachung', 'Yumthang Valley', 'Lachen']",4.5/5,"['Weather: 18° C', 'Ideal duration: 3-5 days', 'Best Time: Apr-Jun, Oct-Dec ']"
Tamil Nadu ,Kanyakumari,"['Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of the Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin.', 'Kanyakumari offers the marvellous confluence of the Bay of Bengal, the Arabian Sea and the Indian ocean meeting together at a point. But, this is not a miracle, the miracle lies in the beauty that the water of three seas does not mix, you can clearly distinguish between the turquoise blue, deep blue and sea green waters of the three seas. To enjoy the best view of sunset and sunrise, you can visit the Triveni Sangam point and the famous View tower.', 'The town has a mountainous terrain with elevated patches of hills, coconut trees and lined with paddy fields. Kanyakumari is also the only place in India where you can observe the sunrise and sunset at the same beach.', 'The town is not only popular for its unique phenomenon but also its temples and the Vivekananda Rock Memorial among other iconic monuments.', 'Waterfalls in Kanyakumari that you should not miss out on include the Thirparappu falls, the Courtallam Falls, and the Olakaruvi falls. Kanyakumari has authentic South Indian cuisine, with seafood and coconuts being an integral part of almost all dishes.']","['Thirparappu Falls', 'Kanyakumari Beach', 'Vivekananda Rock Memorial', 'Thanumalayan Temple - Sthanumalayan Kovil']",4.1/5,"['Weather: 26° C', 'Ideal duration: 1-2 days', 'Best Time: Oct-Feb']"
Telangana,Borra Caves,"['Located on the east coast of India, the Borra Caves are situated in the Ananthagiri hills of the Araku Valley in Visakhapatnam district. Breath taking hilly terrain, beautiful landscape, semi-evergreen moist deciduous forests, and wild fauna of the Borra Caves are a visual feast.', 'A marvellous creation of nature, the Borra caves were formed when river waters flow through a limestone area, and the calcium carbonate turns into calcium bicarbonate, which is easily washed out by the running water. The most striking feature of the caves is its exquisite variety of speleothems ranging in size.', 'Borra Caves are deemed to be among the largest in the country and are perched at a whopping elevation of about 705 metres. They are basically karstic limestone structures extending to a depth of 80 m and are considered to be the deepest cave in India. The combination of sunlight and dark conjures amazing dancing shaped in the depths of the Borra Caves, which is a sight in itself.', 'Natural skylights in the caves make way for colourful imagery that imparts them a unique enigma of their own. Animal lovers will find bats as well as the golden geckos hiding in the shadows of the niches. The journey up to the primary destination with its picturesque location and a thrilling hike is a treat in itself. Visit this destination and explore the unique beauty of Araku Valley in all its glory.']",[],4.2/5,"['Weather : 26° C', 'Timings : Monday to Sunday: 10:00 AM - 5:00 PM', 'Time Required : 2-3 Hours', 'Entry Fee : Adults: INR 40, Children: INR 30, Camera: INR 25', 'Photography : Allowed', 'Discovered in : 1807', 'Best Time to Visit : November - March']"
Tripura ,Unakoti,"['A prime tourist spot in Tripura, Unakoti is an ancient pilgrimage centre, attracting tourists and devotees from far and wide.', ""Unakoti is where India's heritage stores its carvings and sculptures of gods and goddesses. For such a storehouse of religious and spiritual importance, it is only justified that the place also be the house to lush green flora and full of natural beauty. Many of the rock carvings here depict the life of Lord Shiva as well as other instances from the Hindu Mythology. Sculptures of the Nandi Bull, Lord Ram , Lord Ganesha , Lord Hanuman and Lord Ganpati can also be seen here Unakoti also makes a good place for hiking, trekking and other activities given the terrain and the natural offerings of the area.""]",['Unokotiswara Kal Bhairava'],3.0/5,"['Weather: 25° C', 'Ideal duration: 1 day', 'Best Time: Oct-Apr']"
Uttar Pradesh ,Varanasi,"[""World's oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India. It is one of Hinduism's seven holy cities. The old city of Varanasi lies along the western banks of the Ganges, spread across a labyrinth of narrow galis. Be prepared to walk on foot and encounter some holy cows! Temples at almost every turn engulf Varanasi but the Kashi Vishwanath Temple is the most visited and the oldest of the lot. Benaras is known as the city of Lord Shiva for a reason, and rightfully so."", ""Varanasi is considered an auspicious place to die, as it is believed to grant moksha or liberation from the cycle of life and death. Spiritually enlightening, the heart of the city pulsates around the ghats, about 80 of which border the Ganges. Be prepared for the sights, sounds and smells! Don't miss out on the hot chaat and cool lassi. Though, all chaos and noise on the ghats take a pause before dusk when the Ganga Aarti begins to take place, a ceremony of immense grandeur.""]","['Kashi Vishwanath Temple', 'Dashashwamedh Ghat', 'Sankat Mochan Hanuman Temple', 'Assi Ghat']",4.4/5,"['Weather: 27° C', 'Ideal duration: 2-3 days', 'Best Time: October - March']"
Uttarakhand ,Valley of Flowers,"['Valley of Flowers is located in Chamoli district (near Badrinath) of Uttarakhand, approximately 300 km to the north of Rishikesh.  Valley of flowers is a World Heritage Site for its wild untamed blooms surrounded by white peaks. It is open from June to September every year.', 'At the meeting point of the Himalayan ranges, Zanskar and Western and Eastern Himalayas, the valley of flowers discovered by Mountaineer Frank S Smith in 1931 has been declared a world heritage site for its wild untamed blooms surrounded by white peaks. Famous for its exotic varieties of medicinal herbs, it is also believed that Hanuman brought Sanjivani to the ailing Lakshmana from the valley of flowers. A perfect place to laze around the umpteen number of Himalayan water-falls, streams and paddocks and let the beauty of the place sink in.']","['1. Valley of Flowers National Park', '2. Nanda Devi National Park', '3. Fauna & Flora', 'Nainital']",4.6/5,"['Weather: 2° C', 'Ideal duration: 1-2 days', 'Best Time: May-Oct ']"
West Bengal ,Darjeeling,"['Jaw-dropping locales, mesmerising sunrises, the untouched beauty of the hills, the old-world charm of the past, and the welcoming smiles of the local people all add up to make Darjeeling one of the most beautiful hill stations in Eastern part of India. Spread over a steep mountain ridge, nestled amidst acres of lush green tea plantations, Darjeeling stands at the height of 2,050 meters above sea level, thus boasting of cool climes all year round. This scenic hill station is the perfect getaway for a romantic honeymoon and is just around 700 kilometres away from Kolkata.', 'A respite from the hot and humid summers of India, Darjeeling is a popular tourist destination in North-East India. Providing a heady mixture of splendid tea gardens on rolling mountain slopes, meandering toy train rides through the picturesque city, and delectable traditional Tibetan cuisine, Darjeeling works wonders to cater to the gorgeous panorama of the Himalayas.', ""There is a reason the city is known as the 'Queen of the Himalayas'. The lush green slopes dotted with women plucking tea leaves is a sight as mesmerising as no other. There are over 86 tea estates in Darjeeling that are responsible for producing the worldwide famous 'Darjeeling Tea'. Have a cup of locally brewed chai at the tea estate, or get down amidst the plantations to pluck a few tea leaves yourself, you are free to take your pick!"", ""A previous summer capital of India under the British Raj, Darjeeling has come off age as one of the most sought after hill stations in India. Famous for its beautiful tea plantations and the quality of Darjeeling tea, Darjeeling is a delight for all kind of tourists. The toy train established back in 1881, still runs in this part and is also one of the UNESCO World Heritage sites. Beautiful colonial architecture including mansions and churches dot this little beautiful town. Filled with people from Tibet, Nepal, nearby Indian states and the Gorkhas, Darjeeling is brimming with cultural diversity. The third highest peak in the world and the highest in India, the Kanchenjunga peak is clearly visible from here and you can enjoy a panoramic view of the peak. Some of Darjeeling's most popular attractions include monasteries, botanical gardens, a zoo, and the Darjeeling-Rangeet Valley Passenger Ropeway cable car which happens to be the longest Asian cable car. Darjeeling is a wonderful place to walk around and explore the tea estates, villages, and markets.""]","['Darjeeling Himalayan Railway', 'Tiger Hill', 'Batasia Loop', 'Himalayan Mountaineering Institute']",4.3/5,"['Weather: 17° C', 'Ideal duration: 2-3 days', 'Best Time: February-March, September-December.']"
